account,name,total_orders_reward,multiplier
0xaa391169c4957436ad883e6091fd1d31ec36a203,bebra,31110,11.58890005
0xa44368625eba8a3a6189b7f184b79898b22f4238,dabigduck,30934,11.52260171
0x724177a6b46d239c1cc50d04587a8826d23bd70f,qanoku,30928,11.52034154
0xa3eac0016f6581ac34768c0d4b99ddcd88071c3c,pet3rpan,30248,11.26418885
0xd2e44e40b5fb960a8a74dd7b9d6b7f14b805b50d,FAngel,30218,11.252888
0x6862a89280387ccab4979faa846ea49791ad7e3f,6862a,30127,11.21860874
0x5ee700e85a7d31972aed36e673ca3dcac985f1e7,biber,30114,11.2137117
0x7872734cde25ecdc520bcb090248f344cba66102,nguyn,30050,11.18960321
0x27fb8eafc6eba2498681e9f56c8c7a38c610ee54,weewee,29888,11.1285786
0x3c5e7ba4609ad86f9e2729290e89b9eb88967e9e,focg,29724,11.0668006
0x91d8b5299c217c0d4620e4b992129f163ed47849,Xarfox,28709,10.68445505
0xaf80e2feaf487d99abb3b2ead3567ea03a2887c5,mikapok,28646,10.66072325
0x73aa3b633ef64e82cce4a91ba0f48f1a3b88f281,damiddleduck,27725,10.31378704
0x22a676b52392591bc6c7caf51c14b38f5e0f3716,8888,27528,10.2395781
0xceca6d830af4271bf988955759110b94ffda47b1,MACCC,27439,10.20605224
0x21a93067e2b00222ade725179d68cde02ef2eb0e,seigexx,27060,10.06328478
0x78ceb23fb0610829ef8fe27b945548783f743c43,GOD.11,26959,10.02523857
0xf9bf47acbfc49fe8e874c3bbd4187421adebe9fb,BombaDil,26952,10.02260171
0xf2c519de56b2f3c99bf034f11976b72b9ac5f7ad,stev,26904,10.00452034
0xc9c5a24d0ba4f52764a6a629e4036eedcb1ca99c,boov,26889,9.998869915
0xd5e71be908c59e9b6f43b1459fec5bea3cb4349b,autonomouschiny,26736,9.94123556
0x2903cc0335cec1358c4d6e1518d0ea88200ee562,brian,26726,9.937468609
0xfc2f7e73fe4241cfb59f5d6b72ff7951867cc8c0,jackson,26377,9.806002009
0xd62b766c37ffffcdf34e7153ea7764d897d14bc3,meow,26330,9.788297338
0x818f873084a525de08981122a81a46d5718d2b7a,stompy,26316,9.783023606
0xe717db73905b7e1cc76d79e59daf9819afc89d1f,nico,26196,9.737820191
0xa25b2bcceca52bf88f013a465929dfbc9684e8df,dustt,25935,9.639502762
0x97606763a7a2227db0c2e58d9b49abc9c4f47f29,viettel,25828,9.599196384
0xe446235a189bda03dc0e3dd65378e03f8dcc4207,vnammer,25821,9.596559518
0x089a8797d93211d65b9bacdad72f6c85feba2716,jazz9910,25541,9.491084882
0x3fd0ef5e035871ab6c9e7dbc4dd2f2ac2e58acec,seven,25426,9.447764942
0xd6418e4782ef0f4641ca4918cdf0cfa7550c419c,zeee,25236,9.376192868
0x2eb34720c0f32d4a2a125b48022a72ed475a1c1b,bober,24900,9.249623305
0x16a79fec5131f3a7c2d1f5466f47a8c575f81792,raptor,24655,9.157332998
0xf2eaae9d87419ae9da32516c8ec73a6b88472ee8,cdone,24567,9.124183827
0x50b987bc229439bf6957848f92b9160c327a6aff,Skibidi,24514,9.104218985
0x84697871e8a94c0601297bbb1be7e193659a871c,mankeer,24479,9.091034656
0x70069911475783b9aabf127fa27008bdecd3c394,fdfg,24344,9.040180814
0x7429565535c97ce317a881f7d08261af558cf678,20100,24086,8.942993471
0x27160dbea0d66b29553b0b083450cfa51805fec7,5FEC7,23973,8.900426921
0x83c0af8199886d498653ae179089b5a575ca1ed3,shiny,23638,8.774234053
0x1d51a1791ffed9d0438f4e7f94637118117b731c,kronos,23410,8.688347564
0x658ee9c0d8e093fb194e8d90578000fcc15bb462,datinyduck,23136,8.585133099
0xb685413b8f34011522295676a1477bb761e92ef7,Ditto,23078,8.563284782
0x13eecd1897fdb0d57ec00845e725150e304dbba5,urmoma,22990,8.53013561
0x4e5c4c385bec48788617b4cf645e4c4d05554a38,pukemaggot,22908,8.49924661
0xff825b37709fb90d356c468d2cbc73b53eb341e1,jesusitropbeau,22849,8.477021597
0xcd73321eaa47d3c827287747b0bf26eaa85457de,pppp,22768,8.446509292
0x96b290e5bf4eb54f31d843b906d850485d2b728a,alvarius,22649,8.401682572
0x10bb170668c7246133ae6231500743881ccca299,obatu,22250,8.251381215
0x31b76b7c75696679b1409318d2f7ae1809ee507f,entername,22148,8.212958312
0xd386904e594788ad262575f1eca180540bfc1441,JOYJOY,21674,8.034404822
0x37514a311dd8381855b109ef6749b59168b050de,BELLA,21042,7.796333501
0x134f240827dd4b047942589998a163a2a1002f1a,zen123,20929,7.753766951
0xe170e5a82bce90d7e3e15d4a323a3e927c4fcacf,yoou,20871,7.731918634
0x4a1ca83f53b88b713a95ff032ae5cb123e40c598,allibuma,20640,7.644902059
0x109cf17dfcbdbb30b2e1caa74b06fd709a3d4e53,rchmndklvn,20544,7.608739327
0x2c29b9d54e2d7dd24c4612f4ef15a7317f3e4472,gungrave,20102,7.44224008
0x34bd958fa9412b617949f2d2282d7417c4c92d27,Norton18,20056,7.424912104
0xef886354dba172a9bee572a04bd524df05cc9536,SALUDO,19967,7.391386238
0xf126b36f3ba06ffde6d82a36b21caf53c657abb0,Angelica,19844,7.345052737
0x376ba232497d20beb726759a397ff323b93c0b27,yz2442,19712,7.29532898
0xba1ae65237537287f107d7be3864e83c138886ce,diney335,19697,7.289678553
0x83929dc3257954f743041c3f2cafdcbc06647057,gonganz,19592,7.250125565
0x65f12f45403524ce49c5b58df9c06364ac54388e,OGOGBANDO,19526,7.225263687
0xd61a83de71bb22ad492108b1368102426af9f722,booboo,19340,7.155198393
0x3f8e9a201f12ebd49b712ad34528480792fb998b,yummypee,18949,7.007910598
0x07073c105a560e9505a6bb90b2e95c3ef2b47486,daminiduck,18814,6.957056755
0x6592ead6ead911ed51e7e22c045cceeced8e9681,caleb,18630,6.887744852
0x4718ce007293bce1e514887e6f55ea71d9a992d6,steady,18614,6.88171773
0x7dec82def934578be4c0db5bfd154f9c88b17e42,cell,18595,6.874560522
0xdeb189b0f2681d9de6b07743b7090f3f840feade,henry,18522,6.847061778
0xacef91efa4e7467186e133d0fabb47ae1731cd9f,Gssnft,18490,6.835007534
0xdc4e49244042478d1fc6552faea40b32ebd30826,MEATBAG88,17742,6.553239578
0xbacffb43a95104649aeaf90de775792bd3cb4485,baccff,17699,6.537041688
0x3ab5af35a7f3ccbc6776a79a4a2af6f83b1075d4,peterPank,17416,6.430436966
0x7e3845009b878ce38fc68f236b8957c1951c2b86,meatpop,17101,6.311778001
0x502166d043ba1e7949f6e7fdedb744c1a1c2b465,ULYSSES,17098,6.310647916
0xf8b321738e67bc99b7070633d34ad2cbf4a4cf54,ppooq,17024,6.282772476
0x136aaebfff6dbd16e3df7e8db860987808637bde,dfdd,16988,6.269211452
0xebdbd504f79502fd31240457157e4005688fdda5,arch5tanton1,16920,6.243596183
0x1bd29274f115e1d9c6c843ac4d81d59d3aa09fc3,friend,16835,6.211577097
0x0f170e97a52c465dbfffa573370e403f703c7d73,sxff,16710,6.164490206
0x3e0fb8d26ce22ed3b1a26e94b60eb0fbc81ab575,buglord,16708,6.163736816
0x327740198efd2321888feb87e92c248de50ddb4b,AUNT,16600,6.123053742
0x1bc38a0df775727789ba3b3fe4bbb175320ec11b,dagiantduck,16486,6.080110497
0xeeba46d9ec8edc38c615e3330a8935da965af80d,bbqyu,16381,6.040557509
0x50b4d02510b3c0fa62eb0c1e919d2bcf501e3786,wwwer,16369,6.036037167
0xa7cddda0f00d12749398a930f3be0d4a924112cf,ddeth,16369,6.036037167
0xe3f34be0af7d014f851aa1d41161920f8c8a704c,ppgoing,16304,6.011551984
0x7c986b2b5a4fa662904cb4284dd418024f1a744c,tyson,16230,5.983676544
0x5bb96c35a68cba037d0f261c67477416db137f03,0x5bb,16074,5.924912104
0x9628006f30da5e03ba6cd9de36bc0a72955a1d29,ADOI,16050,5.915871421
0xb51fbfe23a4bc4b6a4c45099f9ffbb0af5c221b5,cregorie,15909,5.862757408
0x5ba7b8dac89daf635aa1b7c51bb97c78d602b231,quang,15766,5.808890005
0x7774e0067e76aaa0c96eed895b48dc7787bb1277,kevin,15672,5.773480663
0xda51d5d63f2ad4f4acec8fbd1540cf9967c3161d,nana,15214,5.600954294
0x66c8a30241d42819255e469929a8b8017c22c8c1,meat popsicle,15197,5.594550477
0x9410612d7618a13e28f8decfd9f022f2076b0e62,vanishk.eth,15038,5.534655952
0x415a643f806bc8c15314a958f706904182b9042b,tester,15012,5.524861878
0x2b2248e158bfe5710b82404b6af9ced5ae90b859,zalupa,14889,5.478528378
0xcee166af55500d1806a6952e6d79621e6381cd0e,Edgar,14610,5.373430437
0x1ef3f568ff9331ee64a65ed68e5d83dfa3005bea,zombie,14603,5.370793571
0xa1c80e03f568846e1c2e074edf10262fd1f93fa5,proxyagent,14508,5.335007534
0x9bdd2fff74b50eebff02e8563e81d9fd6bc73d63,momax,14502,5.332747363
0xd64569c334b757c5a50b9e6f5efdb78ff8897dd9,cesar,14502,5.332747363
